Applicant Name,Funding Band,Alternative Name,Web address,Discipline,Notes,Area,ACE Region,ONS Region,Local Authority
Artichoke Trust,2,,http://artichoke.uk.com,Combined arts,,London,London,London,Tower Hamlets
Artlink Hull,1,Artlink Centre for Community Arts,http://www.artlink.uk.net,Combined arts,,North,Yorkshire,Yorkshire and The Humber,"Kingston upon Hull, City of"
Artlink West Yorkshire,1,,http://www.artlinkwestyorks.org,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Leeds
ArtReach (Trust) Ltd,2,,http://www.artreach.biz,Combined arts,,Midlands,East Midlands,East Midlands,Leicester
Arts & Health South West,1,Arts and Health South West,http://www.ahsw.org.uk,Combined arts,,South West,South West,South West,Exeter
Arts & Health South West,SSO,Arts and Health South West,http://www.ahsw.org.uk,Combined arts,,National,South West,South West,Exeter
Arts & Heritage (PHC) Plymouth City Council,3,Plymouth City Council,http://www.plymhearts.org/pcmag,Museums,,South West,South West,South West,Plymouth
Arts Alive,1,Arts Alive in Shropshire and Herefordshire ,http://www.artsalive.co.uk,Combined arts,,Midlands,West Midlands,WALES,Powys
Arts Catalyst,1,,http://www.artscatalyst.org,Visual arts,,London,London,London,Camden
Arts Connect (University of Wolverhampton),SSO,University of Wolverhampton,http://www.artsconnect.co.uk,Not discipline specific,Bridge Organisation,Midlands,West Midlands,West Midlands,Birmingham
Arts Marketing Association,SSO,,http://www.a-m-a.co.uk,Not discipline specific,,National,East,East of England,Cambridge
Arts&Heritage,SSO,Arts and Heritage Ltd,http://www.artsandheritage.org.uk,Museums,,National,North East,North East,Northumberland
Artsadmin,2,,http://www.artsadmin.co.uk,Combined arts,,London,London,London,Tower Hamlets
Artsreach,1,,http://www.artsreach.co.uk,Combined arts,,South West,South West,South West,West Dorset
Artswork,SSO,,http://www.artswork.org.uk,Not discipline specific,Bridge Organisation,South East,South East,South East,Southampton
Artworks Creative Communities,1,,http://www.artworkscreative.org.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Bradford
Arvon Foundation,2,Arvon,http://arvon.org,Literature,,London,London,London,Islington
Asian Arts Agency,2,,http://www.asianartsagency.co.uk,Combined arts,,South West,South West,South West,"Bristol, City of"
Aspex Visual Arts Trust,1,,http://www.aspex.org.uk,Visual arts,,South West,South West,South East,Portsmouth
Association for Cultural Enterprises,SSO,,http://acenterprises.org.uk,Museums,,National,North East,North East,Northumberland
Association of Independent Museums,SSO,,http://www.aim-museums.co.uk,Museums,,National,West Midlands,West Midlands,Shropshire
Attitude is Everything,SSO,,http://www.attitudeiseverything.org.uk,Music,,National,London,London,Camden
Aurora Orchestra,1,,http://www.auroraorchestra.com,Music,,London,London,London,Islington
Auto Italia,1,Auto Italia South East LTD,http://www.autoitaliasoutheast.org,Visual arts,,London,London,London,Tower Hamlets
Autograph ABP,2,,http://www.autograph-abp.co.uk,Visual arts,,London,London,London,Hackney
Avant Garde Dance Company,1,,http://www.avantgardedance.com,Dance,,London,London,London,Hackney
B3 Media Limited,1,,http://www.b3media.net,Combined arts,,London,London,London,Hackney
Baby People,1,,http://www.babypeople.co.uk,Music,,Midlands,East Midlands,East Midlands,Derby
Backlit,1,,http://www.backlit.org.uk,Visual arts,,Midlands,East Midlands,East Midlands,Nottingham
Balbir Singh Dance Company,1,,http://www.balbirsinghdance.co.uk/,Dance,,North,Yorkshire,Yorkshire and The Humber,Leeds
Ballet Black,1,,http://www.balletblack.co.uk,Dance,,London,London,London,Westminster
Ballet Lorent Limited,2,,http://www.balletlorent.com,Dance,,North,North East,North East,Newcastle upon Tyne
BalletBoyz Ltd,2,,http://www.balletboyz.com,Dance,,London,London,London,Kingston upon Thames
Baltic Flour Mills Visual Arts Trust,3,,http://www.balticmill.com,Visual arts,,North,North East,North East,Gateshead
Bamboozle Theatre Company,1,,http://www.bamboozletheatre.co.uk,Theatre,,Midlands,East Midlands,East Midlands,Leicester
Barbican Centre,2,,http://www.barbican.org.uk,Combined arts,,London,London,London,City of London
"Barbican Theatre, Plymouth",1,Rent-a-Role Drama Service t/a Barbican Theatre,http://www.barbicantheatre.co.uk,Combined arts,,South West,South West,South West,Plymouth
Barnsley Civic Enterprise Ltd,1,,http://www.barnsleycivic.co.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Barnsley
Barnsley Museums,2,Barnsley Council,http://www.barnsley-museums.com,Museums,,North,Yorkshire,Yorkshire and The Humber,Barnsley
Battersea Arts Centre,2,,http://www.bac.org.uk,Theatre,,London,London,London,Wandsworth
BCB,1,THE CLAY FOUNDATION CIO t/a British Ceramics Biennial,http://www.britishceramicsbiennial.com,Visual arts,,Midlands,West Midlands,West Midlands,Stoke-on-Trent
BE FESTIVAL CIC,1,,http://www.befestival.org,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
Beaford Arts,1,,http://www.beaford-arts.org.uk,Combined arts,,South West,South West,South West,North Devon
Beamish Museum,2,"Beamish Museum, The Living Museum of the North",http://www.beamish.org.uk,Museums,"Technical Reduction. Beamish Museum is the lead partner of a 2015-2018 consortium. The consortium does not exist for 2018-2022, therefore the technical reduction relates to the lost allocation of the previous partner.",North,North East,North East,County Durham
Beatfreeks,1,Beatfreeks Arts Ltd.,http://www.beatfreeks.com,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
Beavers Arts Ltd.,1,,http://www.b-arts.org.uk/,Combined arts,,Midlands,West Midlands,West Midlands,Stoke-on-Trent
Bedford Creative Arts,1,,http://bedfordcreativearts.org.uk,Combined arts,,South East,East,East of England,Bedford
Belgrade Theatre Trust (Coventry) Ltd,2,,http://www.belgrade.co.uk,Theatre,,Midlands,West Midlands,West Midlands,Coventry
Bermondsey Artists’ Group,1,,http://www.cgplondon.org,Visual arts,,London,London,London,Southwark
Bernard Leach Trust Limited  (Leach Pottery),1,,http://www.leachpottery.com,Visual arts,,South West,South West,South West,Cornwall
Berwick Film & Media Arts Festival,1,Berwick Film and Media Arts Festival,http://www.berwickfilm-artsfest.com,Visual arts,,North,North East,North East,Northumberland
Bharatiya Vidya Bhavan Ltd,1,,http://www.bhavan.net,Music,,London,London,London,Hammersmith and Fulham
Eastside Projects,1,Birmingham City University,http://www.bcu.ac.uk,Visual arts,,Midlands,West Midlands,West Midlands,Birmingham
Birmingham Contemporary Music Group,2,,http://www.bcmg.org.uk,Music,,Midlands,West Midlands,West Midlands,Birmingham
Birmingham LGBT,1,,http://www.birminghamlgbt.org,Combined arts,,Midlands,West Midlands,West Midlands,Birmingham
Birmingham Museums Trust,3,,http://www.birminghammuseums.org.uk/,Museums,,Midlands,West Midlands,West Midlands,Birmingham
Birmingham Opera Company,2,,http://www.birminghamopera.org.uk,Music,,Midlands,West Midlands,West Midlands,Birmingham
Birmingham Repertory Theatre,3,,http://www.birmingham-rep.co.uk,Theatre,,Midlands,West Midlands,West Midlands,Birmingham
Birmingham Royal Ballet,3,,http://www.brb.org.uk,Dance,,Midlands,West Midlands,West Midlands,Birmingham
Black Bird/Red Rose Productions,1,,http://www.markbrucecompany.com,Dance,,South West,South West,South West,Mendip
Black Country Living Museum Trust,2,,http://www.bclm.com,Museums,"Technical Reduction. Black Country Living Museum is the lead partner of a 2015-2018 consortium. The consortium does not exist for 2018-2022, therefore the technical reduction relates to the lost allocation of the previous partner.",Midlands,West Midlands,West Midlands,Dudley
Black Country Touring,1,,http://www.bctouring.co.uk,Combined arts,,Midlands,West Midlands,West Midlands,Sandwell
Blackpool Grand Theatre (Arts & Entertainment) Ltd,1,,http://www.blackpoolgrand.co.uk,Dance,,North,North West,North West,Blackpool
Blast Theory,1,,http://www.blasttheory.co.uk,Combined arts,,South East,South East,South East,Brighton and Hove
Blind Summit Education,1,,http://www.blindsummit.com,Theatre,,London,London,London,Islington
Bloodaxe Books Ltd,1,,http://www.bloodaxebooks.com,Literature,,North,North East,North East,Northumberland
Blue Elephant Theatre,1,,http://www.blueelephanttheatre.co.uk,Theatre,,London,London,London,Southwark
BOM (Birmingham Open Media),1,Birmingham Open Media CIC,http://www.bom.org.uk,Visual arts,,Midlands,West Midlands,West Midlands,Birmingham
Book Works,1,,http://www.bookworks.org.uk,Visual arts,,London,London,London,Hackney
Borough of Poole Museum Service,2,,-,Museums,,South West,South West,South West,Poole
Boundless Theatre,1,,http://www.boundlesstheatre.org.uk,Theatre,,London,London,London,Southwark
Bournemouth Borough Council,1,,http://www.bournemouth.gov.uk,Combined arts,,South West,South West,South West,Bournemouth
Bournemouth Symphony Orchestra,3,,http://www.bsolive.com,Music,,South West,South West,South West,Poole
Bow Arts Trust,1,,http://www.bowarts.org,Visual arts,,London,London,London,Tower Hamlets
Boy Blue Entertainment,1,,http://www.boyblueent.com,Dance,,London,London,London,City of London
Brass Bands England,SSO,,http://www.brassbandsengland.co.uk,Music,,National,Yorkshire,Yorkshire and The Humber,Barnsley
Bridport Arts Centre,1,,http://www.bridport-arts.com,Combined arts,,South West,South West,South West,West Dorset
Brighton & Hove City Council,2,Royal Pavilion & Museums,http://www.brightonmuseums.org.uk,Museums,,South East,South East,South East,Brighton and Hove
Brighton Dome & Festival Limited,3,,http://www.brightonfestival.org,Combined arts,,South East,South East,South East,Brighton and Hove
Bristol Cultural Development Partnership,1,,http://www.ideasfestival.co.uk,Combined arts,,South West,South West,South West,North Somerset
Bristol Museums,3,Bristol City Council,https://www.bristol.gov.uk/,Museums,,South West,South West,South West,"Bristol, City of"
Bristol Music Trust,2,,http://www.colstonhall.org/,Music,,South West,South West,South West,"Bristol, City of"
Bristol Old Vic and Theatre Royal Trust Ltd,3,,http://www.bristololdvic.org.uk,Theatre,,South West,South West,South West,"Bristol, City of"
British Motor Industry Heritage Trust,1,,http://www.britishmotormuseum.co.uk,Museums,,Midlands,West Midlands,West Midlands,Stratford-on-Avon
British Underground Ltd,1,,http://www.britishunderground.net,Music,,London,London,London,Lambeth
British Youth Opera,1,,http://www.byo.org.uk,Music,,London,London,London,Southwark
Britten Sinfonia,2,,http://www.brittensinfonia.com,Music,,South East,East,East of England,Cambridge
Brownswood Music Ltd,1,,http://www.gillespetersonworldwide.com/,Music,,London,London,London,Hackney
b-side Multimedia Festival CIC,1,,http://www.b-side.org.uk,Combined arts,,South West,South West,South West,Weymouth and Portland
Bucks County Museum,1,Buckinghamshire County Museum Trust,http://www.buckscountymuseum.org,Museums,,South East,South East,South East,Aylesbury Vale
Bureau of Silly Ideas,1,,http://www.bureauofsillyideas.com,Combined arts,,London,London,London,Lambeth
Burnley Youth Theatre,1,,http://www.burnleyyouththeatre.org,Theatre,,North,North West,North West,Burnley
Burton Art Gallery and Museum,1,The Burton at Bideford,http://www.burtonartgallery.co.uk,Visual arts,,South West,South West,South West,Torridge
Buxton Arts Festival Ltd,1,,http://buxtonfestival.co.uk,Music,,Midlands,East Midlands,East Midlands,High Peak
Camden Arts Centre,2,,http://www.camdenartscentre.org,Visual arts,,London,London,London,Camden
Camden People's Theatre,1,,http://www.cptheatre.co.uk,Theatre,,London,London,London,Camden
Candoco Dance Company,2,,http://www.candoco.co.uk,Dance,,London,London,London,Islington
CapeUK,SSO,,http://www.capeuk.org,Not discipline specific,Bridge Organisation,North,Yorkshire,Yorkshire and The Humber,Leeds
Capsule Events Ltd,1,,http://www.capsule.org.uk,Music,,Midlands,West Midlands,West Midlands,Birmingham
Carcanet Press Limited,1,,http://www.carcanet.co.uk,Literature,,North,North West,North West,Manchester
Cardboard Citizens,1,,http://www.cardboardcitizens.org.uk,Theatre,,London,London,London,Tower Hamlets
Carnival Village Trust,2,,http://carnivalvillage.org.uk/,Combined arts,,London,London,London,Kensington and Chelsea
Carousel Project,1,,http://www.carousel.org.uk,Combined arts,,South East,South East,South East,Brighton and Hove
Cast,2,Doncaster Performance Venue Ltd,http://www.castindoncaster.com,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Doncaster
Castlefield Gallery,1,,http://www.castlefieldgallery.co.uk,Visual arts,,North,North West,North West,Manchester
Cause4,SSO,,http://www.cause4.co.uk,Not discipline specific,,National,Yorkshire,Yorkshire and The Humber,Leeds
Centre for Chinese Contemporary Art,2,,http://www.cfccaorg.uk,Visual arts,,North,North West,North West,Manchester
Chapel Arts Studios,1,Test Valley Arts Foundation,http://www.chapelartsstudios.co.uk,Visual arts,,South West,South West,South East,Test Valley
Charnwood Arts,1,,http://www.charnwoodarts.com,Combined arts,,Midlands,East Midlands,East Midlands,Charnwood
Chatham Historic Dockyard Trust,1,,http://www.thedockyard.co.uk,Museums,,South East,South East,South East,Medway
Cheek by Jowl,1,,http://www.cheekbyjowl.com,Theatre,,London,London,London,City of London
Cheltenham Festivals,1,,http://www.cheltenhamfestivals.com,Combined arts,,South West,South West,South West,Cheltenham
Cheshire Dance,1,Cheshire Dance Workshop Ltd,http://www.cheshiredance.org,Dance,,North,North West,North West,Cheshire West and Chester
Cheshire West and Chester Council,1,,http://www.cheshireruraltouringarts.co.uk,Combined arts,,North,North West,North West,Cheshire West and Chester
Chester Performing Arts Centre Ltd,1,,http://www.storyhouse.com,Combined arts,,North,North West,North West,Cheshire West and Chester
Chichester Festival Theatre,3,,http://www.cft.org.uk,Theatre,,South East,South East,South East,Chichester
Children's Discovery Centre East London,1,,http://www.discover.org.uk,Literature,,London,London,London,Newham
China Plate,1,,http://www.chinaplatetheatre.com,Theatre,,Midlands,West Midlands,West Midlands,Birmingham
Chinese Arts Space,1,,http://www.casuk.org,Combined arts,,London,London,London,Westminster
Chisenhale Gallery,1,,http://www.chisenhale.org.uk,Visual arts,,London,London,London,Tower Hamlets
Chris Goode and Company,1,,http://chrisgoodeandcompany.co.uk,Theatre,,London,London,London,Waltham Forest
Christ Church Oxford United Clubs Ltd,2,,http://www.ovalhouse.com,Theatre,,London,London,London,Lambeth
Chrysalis Arts Development Ltd,1,,http://www.chrysalisarts.com,Visual arts,,North,Yorkshire,Yorkshire and The Humber,Craven
Cinderford Artspace,1,,http://www.artspacecinderford.org,Combined arts,,South West,South West,South West,Forest of Dean
City Arts Nottingham,1,,http://www.city-arts.org.uk,Combined arts,,Midlands,East Midlands,East Midlands,Nottingham
City of Birmingham Symphony orchestra,3,,http://www.cbso.co.uk,Music,,Midlands,West Midlands,West Midlands,Birmingham
Clean Break Theatre Company Ltd,1,,http://www.cleanbreak.org.uk,Theatre,,London,London,London,Camden
Clod Ensemble,1,,http://www.clodensemble.com,Theatre,,London,London,London,Hackney
Cohesion Plus Kent,1,,http://www.cohesionplus.com,Combined arts,,South East,South East,South East,Gravesham
Colchester Arts Centre,1,,http://www.colchesterartscentre.com,Combined arts,,South East,East,East of England,Colchester
Colchester Borough Council,1,,http://cimuseums.org.uk,Museums,,South East,East,East of England,Colchester
Colchester Mercury Theatre Ltd.,2,,http://www.mercurytheatre.co.uk,Theatre,,South East,East,East of England,Colchester
Collar and TIE Ltd,1,,http://www.candt.org,Theatre,,Midlands,West Midlands,West Midlands,Worcester
Collections Trust,SSO,,http://www.collectionstrust.org.uk,Museums,,National,London,London,Kensington and Chelsea
Collective Encounters,1,,http://www.collective-encounters.org.uk,Theatre,,North,North West,North West,Liverpool
Comma Press,1,,http://commapress.co.uk/,Literature,,North,North West,North West,Manchester
Common Wealth,1,,http://www.commonwealththeatre.co.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Bradford
Commonword Enterprises Limited,1,,http://www.cultureword.org.uk,Literature,,North,North West,North West,Manchester
Community and Cultural Services,1,Cambridgeshire County Council,http://www.cambridgeshire.gov.uk/,Libraries,,South East,East,East of England,Cambridge
Community Arts North West,1,,http://can.uk.com,Combined arts,,North,North West,North West,Manchester
Community Music Ltd,1,,http://www.cmsounds.com,Music,,London,London,London,Tower Hamlets
Company Chameleon,1,,http://www.companychameleon.com,Dance,,North,North West,North West,Manchester
Compton Verney House Trust,1,,http://www.comptonverney.org.uk,Museums,,Midlands,West Midlands,West Midlands,Stratford-on-Avon
Coney Ltd,1,,http://coneyhq.org/,Theatre,,London,London,London,Tower Hamlets
Contemporary Art Society,1,,http://contemporaryartsociety.org,Visual arts,,London,London,London,Islington
Contemporary Dance Trust,3,,http://www.theplace.org.uk,Dance,,London,London,London,Camden
Continental Drifts,1,,http://continentaldrifts.co.uk/,Music,,London,London,London,Haringey
Corali,1,Corali Dance Company,http://www.corali.org.uk,Dance,,London,London,London,Lambeth
Corby Cube Theatre Trust,1,,http://www.thecorecorby.com,Combined arts,,Midlands,East Midlands,East Midlands,Corby
Corn Exchange (Newbury) Trust,1,,http://www.cornexchangenew.com,Combined arts,,South East,South East,South East,West Berkshire
Cornwall Museums Partnership,2,,http://www.cornwallmuseumspartnership.org.uk,Museums,,South West,South West,South West,Cornwall
Counterpoints Arts,1,,http://www.counterpoiuntsarts.org.uk,Combined arts,,London,London,London,Hackney
Crafts Council,3,,http://www.craftscouncil.org.uk,Visual arts,,London,London,London,Islington
Craftspace,1,,http://www.craftspace.co.uk,Visual arts,,Midlands,West Midlands,West Midlands,Birmingham
Create Gloucestershire,SSO,,http://www.creategloucestershire.co.uk,Not discipline specific,,South West,South West,South West,Stroud
Create London,1,,http://createlondon.org,Visual arts,,London,London,London,City of London
Create Studios Digital Media CIC,1,,http://www.createstudios.org.uk,Visual arts,,South West,South West,South West,Swindon
Creative & Cultural Skills,SSO,Creative and Cultural Industries Ltd ,http://www.ccskills.org.uk,Not discipline specific,,National,East,East of England,Thurrock
Creative Arts East,1,,http://Www.creativeartseast.co.uk,Combined arts,,South East,East,East of England,South Norfolk
Creative Foundation,2,,http://www.creativefoundation.org.uk,Visual arts,,South East,South East,South East,Shepway
Creative Kernow Ltd,1,,http://www.creativekernow.org.uk,Combined arts,,South West,South West,South West,Cornwall
Creative Sector Services CIC,SSO,,http://www.creativeunited.org.uk,Not discipline specific,,National,London,London,Westminster
Creative Skillset,SSO,Creative Skillset - Sector Skills Council Limited,http://www.creativeskillset.org,Not discipline specific,,National,London,London,Westminster
Creativity Works,1,Creativity Works for Everyone,http://www.creativityworks.org.uk,Combined arts,,South West,South West,South West,Bath and North East Somerset
Crescent Arts,1,,http://www.crescentarts.co.uk,Visual arts,,North,Yorkshire,Yorkshire and The Humber,Scarborough
Crying Out Loud,1,,http://www.cryingoutloud.org,Combined arts,,London,London,London,Westminster
Cubitt Artists Limited,1,,http://www.cubittartists.org.uk,Visual arts,,London,London,London,Islington
Culture Coventry,2,,http://www.culturecoventry.com,Museums,,Midlands,West Midlands,West Midlands,Coventry
Culture Squared CIC,2,,http://www.bradfordliteraturefestival.co.uk,Literature,,North,Yorkshire,Yorkshire and The Humber,Bradford
"Culture, Learning and Libraries (Midlands) - Library Service",1,,http://www.inspireculture.org.uk,Libraries,,Midlands,East Midlands,East Midlands,Nottingham
Culture24,SSO,,http://www.WeAreCulture24.org.uk,Museums,,National,South East,South East,Brighton and Hove
CultureMix Arts Ltd,1,,http://www.culturemixarts.co.uk,Combined arts,,South East,South East,South East,Reading
Cumbria Theatre Trust,2,,http://www.theatrebythelake.com,Theatre,,North,North West,North West,Allerdale
curious directive,1,,http://www.curiousdirective.com,Theatre,,South East,East,East of England,Norwich
Curious Minds,SSO,,http://www.curiousminds.org.uk,Not discipline specific,Bridge Organisation,North,North West,North West,Preston
DaDaFest,1,DaDa - Disability and Deaf Arts,http://www.dadafest.co.uk,Combined arts,,North,North West,North West,Liverpool
Daily Life Ltd,1,,http://dailylifeltd.co.uk/,Combined arts,,London,London,London,Newham
Dance City,2,Dance North Ltd,http://www.dancecity.co.uk,Dance,,North,North East,North East,Newcastle upon Tyne
Dance Consortium,2,,http://www.danceconsortium.com,Dance,,Midlands,West Midlands,West Midlands,Birmingham
Dance Umbrella,2,,http://www.danceumbrella.co.uk,Dance,,London,London,London,Westminster
Dance United Yorkshire,1,,http://www.duy.org.uk,Dance,,North,Yorkshire,Yorkshire and The Humber,Bradford
Dance4,2,,http://www.dance4.co.uk,Dance,,Midlands,East Midlands,East Midlands,Nottingham
DanceEast,2,,http://www.danceeast.co.uk,Dance,,South East,East,East of England,Ipswich
Dancefest,1,,http://www.dancefest.co.uk,Dance,,Midlands,West Midlands,West Midlands,Worcester
Darbar Arts Culture Heritage Trust,1,,http://www.darbar.org,Music,,Midlands,East Midlands,East Midlands,Leicester
darts (Doncaster Community Arts),1,,http://www.thepoint.org.uk,Combined arts,,North,Yorkshire,Yorkshire and The Humber,Doncaster
Dash Arts Ltd,1,,http://www.dasharts.org.uk,Combined arts,,London,London,London,Tower Hamlets
De La Warr Pavilion,2,,http://www.dlwp.com,Visual arts,,South East,South East,South East,Rother
Deafinitely Theatre,1,,http://www.deafinitelytheatre.co.uk,Theatre,,London,London,London,Camden
Déda,2,,http://www.deda.uk.com,Dance,,Midlands,East Midlands,East Midlands,Derby
Dedalus Limited,1,,http://www.dedalusbooks.com,Literature,,London,London,London,Barking and Dagenham
Derby Museums,2,,http://derbymuseums.org,Museums,"Technical Reduction. Derby Museums is the lead partner of a 2015-2018 consortium. The consortium does not exist for 2018-2022, therefore the technical reduction relates to the lost allocation of the previous partner.",Midlands,East Midlands,East Midlands,Derby
Derby QUAD Ltd,2,,http://www.derbyquad.co.uk,Combined arts,,Midlands,East Midlands,East Midlands,Derby
Design Museum,1,,http://designmuseum.org,Visual arts,,London,London,London,Kensington and Chelsea
Disability Arts in Shropshire,1,,http://www.dasharts.org,Visual arts,,Midlands,West Midlands,West Midlands,Shropshire
Disability Arts Online,1,DAO (DisabilityArtsOnline) Ltd ,http://www.disabilityarts.online,Not discipline specific,,South East,South East,South East,Brighton and Hove
Diverse City,2,,http://www.diversecity.org.uk,Combined arts,,South West,South West,South West,Purbeck
Doncaster Heritage Services,1,Doncaster MBC,http://www.doncaster.gov.uk/museums,Museums,,North,Yorkshire,Yorkshire and The Humber,Doncaster
Donmar Warehouse Projects Ltd,2,,http://www.donmarwarehouse.com/,Theatre,,London,London,London,Westminster
Doorstep Arts,1,,http://www.doorsteparts.co.uk,Theatre,,South West,South West,South West,Torbay
Drake Music,1,,http://www.drakemusic.org,Music,,London,London,London,Tower Hamlets
Drawing Room,1,"Drawing Room, Tannery Arts Ltd.",http://www.drawingroom.org.uk,Visual arts,,London,London,London,Southwark
dreamthinkspeak,1,,http://www.dreamthinkspeak.com/,Theatre,,South East,South East,South East,Brighton and Hove
Duckie,1,,http://www.duckie.co.uk,Theatre,,London,London,London,Lambeth
Durham County Council,2,,http://www.durham.gov.uk,Combined arts,,North,North East,North East,County Durham
East London Dance,1,,http://www.eastlondondance.org,Dance,,London,London,London,Newham
East Midlands Jazz CIC,1,,http://emjazz.co.uk,Music,,Midlands,East Midlands,East Midlands,Derbyshire Dales
East Street Arts,1,,http://eaststreetarts.org.uk,Visual arts,Technical Reduction. Funding to support the regional YVAN network has been allocated to another organisation. The technical reduction relates to this.,North,Yorkshire,Yorkshire and The Humber,Leeds
East Street Arts,SSO,,http://eaststreetarts.org.uk,Visual arts,,National,Yorkshire,Yorkshire and The Humber,Leeds
Eastern Angles Theatre Company Ltd,1,,http://www.easternangles.co.uk,Theatre,,South East,East,East of England,Ipswich
Eastside Educational Trust,1,,http://www.eastside.org.uk,Combined arts,,London,London,London,Hackney
Eclipse Theatre Company Ltd,1,,http://www.eclipsetheatre.org.uk,Theatre,,North,Yorkshire,Yorkshire and The Humber,Sheffield
Eden Arts,1,,http://www.edenarts.co.uk,Combined arts,,North,North West,North West,Eden
emccan CIC,1,,http://www.emccan.org,Combined arts,,Midlands,East Midlands,East Midlands,Derby
Emergency Exit Arts,1,,http://www.eea.org.uk,Theatre,,London,London,London,Greenwich
English Folk Dance and Song Society,2,,http://www.efdss.org,Music,,London,London,London,Camden
English Folk Expo,SSO,,http://www.englishfolkexpo.com,Music,,National,South East,South East,Swale
English National Ballet,3,,http://www.ballet.org.uk,Dance,,London,London,London,Westminster
English National Opera,3,,https://www.eno.org/,Music,,London,London,London,Westminster
English PEN,1,,http://www.englishpen.org,Literature,,London,London,London,Islington
